"Data generated on Friday, December 23, 2022 at 12:55:41 PM EST"
Area/Partners of Origin,,,,,January - December
And General  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.74","0702002080","TM ROUND NS 3/","0","0","0","0","362","362","3,784","946","26","MX","0702002080",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.75","0702004091","TM NS 7/","0","0","0","0","333","333","0","","26","MX","0702004091",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.76","0702006080","TM ROUND NS 11/","0","0","0","0","332","0","3,712","","26","MX","0702006080",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.77","0704106000","CAULIFLOWER/HEAD","0","0","15","115","217","126","82","-35","26","MX","0704106000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.78","0709910000","GLOBE ARTICHOKES","306","552","442","394","211","178","50","-72","26","MX","0709910000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.79","0703102000","ONION SETS,FR/CH","0","124","0","6","131","131","2","-98","26","MX","0703102000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.80","0706903000","BEETS & HRSERDSH","459","122","138","170","116","99","26","-73","26","MX","0706903000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.81","0707006030","CUCUM <=15 JL/AU","0","0","0","98","98","98","192","97","26","MX","0707006030",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.82","0708209005","VIGNA BEANS, F/C","0","0","0","219","64","64","11","-83","26","MX","0708209005",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.83","0708202010","COWPEAS,OT,FR/CH","8","0","0","156","56","29","0","","26","MX","0708202010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.84","0709990500","JICAMAS BRDFRT","351","87","289","262","29","29","46","56","26","MX","0709990500",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.85","0704102000","CLFLWR,6/5-10/15","0","10","119","49","17","17","191","996","26","MX","0704102000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.86","0709991000","CHAYOTE,FR/CH","0","76","0","0","14","5","0","","26","MX","0709991000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.87","0714202000","SW POTATO,FR/DRD","0","0","0","0","4","4","5","33","26","MX","0714202000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.88","0709931000","PUMPKINS FR/CH","98","10","9","1,435","3","3","686","24,728","26","MX","0709931000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.89","0702002016","GRHS TM ROM ORG","0","0","0","0","0","0","7,808","","26","MX","0702002016",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.90","0702002019","GRHS TM ROUND 3/","0","0","0","0","0","0","2,155","","26","MX","0702002019",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.91","0702002026","GRHS TM NS 3/","0","0","0","0","0","0","16,749","","26","MX","0702002026",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.92","0702002032","GRHS TM ROMA 3/","0","0","0","0","0","0","5,211","","26","MX","0702002032",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.93","0702002036","GRHS TM ROUND 3/","0","0","0","0","0","0","17,391","","26","MX","0702002036",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.94","0702002042","GRHS TM NS 3/","0","0","0","0","0","0","17,121","","26","MX","0702002042",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.95","0702002046","TM ORG 3/1-7/15","0","0","0","0","0","0","41","","26","MX","0702002046",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.96","0702002052","CHRRY TOM 3/15-7","0","0","0","0","0","0","3","","26","MX","0702002052",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.97","0702002062","GRP TOM 3/1-7/14","0","0","0","0","0","0","2,662","","26","MX","0702002062",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.98","0702002066","ROMA TOM 3/15-7/","0","0","0","0","0","0","2,777","","26","MX","0702002066",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.99","0702002092","TM NS 3/","0","0","0","0","0","0","214","","26","MX","0702002092",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.100","0702004010","GRHS TM7/15-8/31","17,852","22,067","16,275","27,325","0","0","0","","26","MX","0702004010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.101","0702004016","GRHS ORG 7-8","0","0","0","0","0","0","1,036","","26","MX","0702004016",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.102","0702004019","GRHS CH N ORG","0","0","0","0","0","0","665","","26","MX","0702004019",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.103","0702004021","GRHS GR N ORG","0","0","0","0","0","0","7,611","","26","MX","0702004021",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.104","0702004023","GRHS TM ROMA 7/","0","0","0","0","0","0","3,721","","26","MX","0702004023",
